epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2567.14,inf,1.50039,0.87461,0.83899,0.80675,0.88645,0.88549,0.07611,0.51331,0.4073,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,2989.27,0.05487,1.49061,0.87352,0.8378,0.82518,0.89228,0.89114,0.07007,0.49421,0.40118,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,3410.05,0.05458,1.47968,0.87206,0.83761,0.82391,0.89274,0.89188,0.0691,0.49156,0.40085,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,3833.79,0.05257,1.45233,0.87195,0.84313,0.83175,0.89669,0.89589,0.07031,0.47688,0.40089,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,448.546,0.05064,1.3928,0.87271,0.8388,0.83956,0.90076,0.90003,0.07088,0.46754,0.40134,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,884.239,0.04981,1.3943,0.87154,0.84632,0.83594,0.9044,0.90366,0.06913,0.4609,0.40094,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,1316.83,0.04944,1.37796,0.87257,0.8513,0.84181,0.90662,0.90594,0.06752,0.45151,0.4005,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,1750.28,inf,1.35824,0.87182,0.85897,0.83916,0.90919,0.90845,0.06483,0.4441,0.39919,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,2182.66,0.04647,1.34132,0.87187,0.85274,0.84407,0.91047,0.90995,0.0637,0.4386,0.39802,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,2601.7,0.04952,0.68666,0.86001,0.85315,0.84605,0.91182,0.91156,0.06641,0.43621,0.40012,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,3014.1,0.04253,0.65228,0.85722,0.85379,0.85355,0.91508,0.91484,0.06843,0.43037,0.40141,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,3425.39,0.03828,0.60311,0.85433,0.85886,0.85701,0.91813,0.91798,0.06788,0.42036,0.40054,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,3838.18,0.03557,0.58621,0.85306,0.86705,0.85538,0.92088,0.92077,0.06724,0.41101,0.39939,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,4248,0.03488,0.55429,0.85336,0.86981,0.85867,0.92317,0.92311,0.06652,0.40298,0.39828,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,4661.92,0.03327,0.5266,0.85153,0.87342,0.86143,0.92535,0.92531,0.06542,0.39575,0.39709,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,5080.22,0.03252,0.50294,0.85336,0.87311,0.86549,0.92728,0.92725,0.06489,0.38922,0.39672,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,5500.98,0.03126,0.47754,0.85207,0.88055,0.86484,0.92901,0.92898,0.06454,0.38406,0.39664,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,5919.4,0.03045,0.46098,0.85312,0.88044,0.86967,0.931,0.93097,0.06448,0.37895,0.39665,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,6337.88,0.02954,0.43521,0.85231,0.88644,0.8686,0.93224,0.93219,0.06453,0.37473,0.39663,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
